,Exchange Ticker,"ROA Total Assets, Percent",Return On Equity - Actual,Total Debt,"Total Assets, Reported",Operating Income,TRBC Industry Group Name,TRBC Industry Name,Long Term Debt,Region of Headquarters,regularMarketPrice,preMarketPrice,logo_url
EZJ,EZJ,-9.404801052,-39.67,5989653500,13166190656,-1225952471,Passenger Transportation Services,Airlines,4131863987,Europe,,,
FANG,FANG,-23.57715674,4.36,5815000000,17619000000,-5481000000,Oil & Gas,Oil & Gas Exploration and Production,5624000000,Americas,,,
FARM,FARM,-22.56964251,,22268172.94,81258756.72,-17066817.29,Investment Banking & Investment Services,Investment Management & Fund Operators,20738336.59,Europe,,,
FAT,FAT,-14.59051322,,93166000,121144000,-15050000,Hotels & Entertainment Services,Restaurants & Bars,73852000,Americas,,,
FB,FB,8.262255901,14.06,1721745470,5754676109,662112060,Food & Tobacco,Food Processing,1134721933,Asia,,,
FBHS,FBHS,8.234432234,22.61,2572200000,7358700000,801400000,Homebuilding & Construction Supplies,Construction Supplies & Fixtures,2572200000,Americas,,,
FBIO,FBIO,-36.79119741,,64336000,333413000,-94270000,Pharmaceuticals,Pharmaceuticals,59814000,Americas,,,
FCG,FCG,3.017840429,,3551154195,12093590906,618592649.4,Food & Tobacco,Food Processing,2966734082,Oceania,,,
FCN,FCN,7.577800937,,286131000,2777363000,282663000,Professional & Commercial Services,Business Support Services,286131000,Americas,,,
FCT,FCT,-3.064806392,-4.16,4659341720,10615598437,-124285539.8,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Shipbuilding,2506430142,Europe,,,
FCX,FCX,2.05658626,8.11,9711000000,42144000000,2336000000,Metals & Mining,Specialty Mining & Metals,9677000000,Americas,,,
FDX,FDX,6.335964789,23.01,20879000000,82777000000,5464000000,Freight & Logistics Services,"Courier, Postal, Air Freight & Land-based Logistics",20304000000,Americas,,,
FE,FE,2.311992163,18.24,24477000000,44464000000,1685000000,Electric Utilities & IPPs,Electric Utilities,22100000000,Americas,,,
FET,FET,-9.452940428,-25.78,294695000,889926000,-70770000,Oil & Gas Related Equipment and Services,Oil Related Services and Equipment,292423000,Americas,,,
FICO,FICO,24.7058616,347.529,1312688000,1567776000,505489000,Software & IT Services,Software,1009018000,Americas,,,
FIS,FIS,0.202805879,6.94,20015000000,83842000000,552000000,Financial Technology (Fintech) & Infrastructure,Financial Technology (Fintech),15951000000,Americas,,,
FISV,FISV,1.281562586,9.25,20684000000,74619000000,1852000000,Professional & Commercial Services,Business Support Services,20029000000,Americas,,,
FIVN,FIVN,-5.44976399,28.48,643928000,1063742000,-19269000,Software & IT Services,Software,643316000,Americas,,,
FL,FL,4.738849765,11.26,110000000,7043000000,303000000,Specialty Retailers,Apparel & Accessories Retailers,,Americas,,,
FLDM,FLDM,-17.9860203,-36.23,54224000,324757000,-51036000,Healthcare Equipment & Supplies,Advanced Medical Equipment & Technology,54224000,Americas,,,
FLEX,FLEX,4.152326436,25.37,3783000000,15836000000,862000000,Electronic Equipment & Parts,Electronic Equipment & Parts,3515000000,Asia,,,
FLL,FLL,0.069347637,0.26,111047000,212616000,10476000,Hotels & Entertainment Services,Casinos & Gaming,106832000,Americas,,,
FLO,FLO,4.686131659,21.09,982362000,3323023000,321488000,Food & Tobacco,Food Processing,960103000,Americas,,,
FLR,FLR,-2.954137965,-34.55,1735562000,7309812000,-207052000,Construction & Engineering,Construction & Engineering,1710033000,Americas,,,
FLS,FLS,2.473062885,12.91,1726906000,5314677000,250277000,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrial Machinery & Equipment,1704978000,Americas,,,
FLT,FLT,-11.98928351,-30.989,962399808.1,2448002159,-462934415,Hotels & Entertainment Services,Leisure & Recreation,527051263.8,Oceania,,,
FLUX,FLUX,2.616722053,11.25,2167070103,3334195164,163021494.9,Oil & Gas Related Equipment and Services,Oil & Gas Transportation Services,1901888129,Europe,,,
FM,FM,-0.914603026,-1.96,8359000000,24236000000,690000000,Metals & Mining,Specialty Mining & Metals,7452000000,Americas,,,
FMC,FMC,5.771943906,29.18,3267800000,10186400000,902200000,Chemicals,Diversified Chemicals,2929500000,Americas,,,
FMF,FMF,6.877629413,11.33,128518150.8,668616350.5,67881194.49,Metals & Mining,Mining Support Services & Equipment,110273402.9,Europe,,,
FOLD,FOLD,-31.88204018,-72.59,389254000,886520000,-254274000,Biotechnology & Medical Research,Biotechnology & Medical Research,389254000,Americas,,,
FOOD,,,,,,,,,,,,,
FORTY,FORTY,4.880832102,,668537000,2520080000,170641000,Software & IT Services,IT Services & Consulting,383386000,Asia,,,
FOSL,FOSL,-6.223329572,,227413000,1478505000,-135319000,Textiles & Apparel,Apparel & Accessories,185283000,Americas,,,
FR,FR,2.038190357,,173283000,1237517000,40357000,Metals & Mining,Non-Gold Precious Metals & Minerals,141733000,Americas,,,
FRA,FRA,-5.169889736,-16.31,9964460186,17197361993,-864802149.5,Transport Infrastructure,Airport Operators & Services,8471543723,Europe,,,
FRG,FRG,-1.600721065,46.86,570997000,1847912000,76122000,Specialty Retailers,Miscellaneous Specialty Retailers,466944000,Americas,,,
FRHC,FRHC,11.56264461,,507123000,2018645000,196835000,Investment Banking & Investment Services,Investment Banking & Brokerage Services,68443000,Americas,,,
